hospital_name,description,code,code_type,setting,charge_type,payer_name,plan_name,amount,allowed_count
Carilion New River Valley Medical Center,"Chest X-ray, 2 views",71046,CPT,outpatient,gross,,,410.00,
Carilion New River Valley Medical Center,"Chest X-ray, 2 views",71046,CPT,outpatient,discounted_cash,,,135.00,
Carilion New River Valley Medical Center,"Comprehensive metabolic panel",80053,CPT,outpatient,gross,,,195.00,
Carilion New River Valley Medical Center,"Comprehensive metabolic panel",80053,CPT,outpatient,discounted_cash,,,50.00,
Carilion New River Valley Medical Center,"Complete blood count with differential",85025,CPT,outpatient,gross,,,120.00,
Carilion New River Valley Medical Center,"Complete blood count with differential",85025,CPT,outpatient,discounted_cash,,,26.00,
Carilion New River Valley Medical Center,"CT abdomen and pelvis with contrast",74177,CPT,outpatient,gross,,,3900.00,
Carilion New River Valley Medical Center,"CT abdomen and pelvis with contrast",74177,CPT,outpatient,discounted_cash,,,1050.00,
Carilion New River Valley Medical Center,"Emergency department visit, level 4",99284,HCPCS,emergency,gross,,,2450.00,
Carilion New River Valley Medical Center,"Emergency department visit, level 4",99284,HCPCS,emergency,discounted_cash,,,825.00,
Carilion New River Valley Medical Center,"Emergency department visit, level 5",99285,HCPCS,emergency,gross,,,3950.00,
Carilion New River Valley Medical Center,"Emergency department visit, level 5",99285,HCPCS,emergency,discounted_cash,,,1420.00,
Carilion New River Valley Medical Center,"Electrocardiogram, complete",93000,CPT,outpatient,gross,,,175.00,
Carilion New River Valley Medical Center,"Electrocardiogram, complete",93000,CPT,outpatient,discounted_cash,,,38.00,
Carilion New River Valley Medical Center,"Routine blood draw (venipuncture)",36415,CPT,outpatient,gross,,,40.00,
Carilion New River Valley Medical Center,"Routine blood draw (venipuncture)",36415,CPT,outpatient,discounted_cash,,,11.00,
